Bid,Month,Year,Sold,Quantity,Expenditure,Income
BID001,1,2026,1,10,500,800
BID001,1,2026,0,2,100,0
BID002,1,2026,1,8,400,720
BID002,1,2026,0,1,50,0
BID003,1,2026,1,12,600,960
BID003,1,2026,0,3,150,0
BID001,2,2026,1,9,450,720
BID001,2,2026,0,1,50,0
BID002,2,2026,1,7,350,630
BID002,2,2026,0,2,100,0
BID003,2,2026,1,11,550,880
BID003,2,2026,0,2,100,0
BID001,3,2026,1,11,550,880
BID001,3,2026,0,2,100,0
BID002,3,2026,1,6,300,540
BID002,3,2026,0,1,50,0
BID003,3,2026,1,10,500,800
BID003,3,2026,0,2,100,0
BID001,4,2026,1,13,650,1040
BID001,4,2026,0,1,50,0
BID002,4,2026,1,9,450,810
BID002,4,2026,0,2,100,0
BID003,4,2026,1,8,400,640
BID003,4,2026,0,1,50,0
BID001,5,2026,1,10,500,800
BID001,5,2026,0,3,150,0
BID002,5,2026,1,12,600,1080
BID002,5,2026,0,2,100,0
BID003,5,2026,1,9,450,720
BID003,5,2026,0,1,50,0
BID001,6,2026,1,8,400,640
BID001,6,2026,0,2,100,0
BID002,6,2026,1,11,550,990
BID002,6,2026,0,1,50,0
BID003,6,2026,1,7,350,560
BID003,6,2026,0,2,100,0
